scenario file,app,applications,throughput (flits/cycle),delay avg (cycles),delay var (cycles),a,b,type,fire rate,overlap
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9697408000000001,188.81610999999998,18865.387000000002,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.1157226999999998,262360.97398,8336298904.095,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8612733,656945.8,39516421000.0,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4550150000000002,225123.76406,8153003880.467,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9594264,178.88548,16455.452999999998,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6438689,123.7438,11585.350999999999,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.35703799999999997,445985.7,31703240000.0,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8242541999999999,217950.71205,7772190464.153,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.4972613,216096.5,7642829000.0,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.811036,727024.5,52287179000.0,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.951993,176.64179,16759.167,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.1128288,256560.69842,7917594972.012,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8623513,655654.2999999999,38209623000.0,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-79,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4654525,215191.08862000002,7728514957.591,False,False,compact,0.01,56
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9594775,178.27023,16985.737,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6411142,120.46742,11998.512999999999,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3575736,447089.6,33066760000.0,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.820066,205749.41446,7575106624.497,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.5016587,206574.3,7407842000.0,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8078567,749338.9,52463159000.0,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9563093,179.84683,18324.493000000002,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.1081793,274854.65635,8682868320.543999,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8612703,660591.2000000001,40274958000.0,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-89,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4644374,226820.54754,8486288531.658,False,False,compact,0.01,62
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9570851,174.14159,14788.715,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6375185000000001,114.07791,9624.21,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.35666770000000003,453678.4,33626550000.0,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8214985,212967.2759,7498848150.51,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.4996737,212196.8,7444849000.0,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8062271999999999,738910.1,49569850000.0,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9605014999999999,183.48092,16492.91,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.112962,264249.44946,8462374641.024,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8622923,651483.8,38778739000.0,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-99,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.456978,225850.28355,8478282718.500999,False,False,compact,0.01,74
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9623292999999999,181.81324999999998,16545.129,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6371872000000001,120.66594,10707.447,False,False,compact,0.01,82
