name,principal_component_1
72bc0490687bf5053fd1d3afabd7c23b35ce914b.cl-A,-0.129386743
8cb8152c67a4399cd12f0da391ad5b73eb37c71d.cl-A,-0.092250058
6d490e3a34f5ea95e0672bba1709c5f23b84c6d7.cl-A,-0.286316188
17f5986a4ab40cebfbf99853b824f00760cf9121.cl-A,-0.16127765
275d9e2e58a4f4547e4c681c15351c1b7002dc1c.cl-A,-0.131704164
2fde1835cc8b24f561a58057a05652a9260bd7bf.cl-A,-0.083590356
815ef14a35c255a2cc12d96ac4b0855b1285d8b6.cl-A,-0.092889469
1cc49009635a89bec4da57ff88145dc03f396863.cl-A,-0.138004971
7514e5d69c25d2c9f0540b1c20bf2503d9409045.cl-A,-0.122175732
11c5cac1f4351b42d23b5402964544e3953a3998.cl-A,-0.208133492
25f181794b0f3e510ee9bf35bc0f95bf80e6d90b.cl-A,-0.113728325
8e70e5b2a6af3e19fa766f2a7ae0fd0c90df64a1.cl-A,-0.241660201
6139db2c2ccda325db102b08649d9c83cf6164b4.cl-A,-0.191193072
2efc7b541d32b2e64bf3ef15445925bc762c9d27.cl-A,-0.148381933
44cd437ddc0f65ebb648d647fd103a2f32a9fc21.cl-A,-0.162671382
786b90755b95cc1d47df4d75595637956f920dfe.cl-A,-0.518326198
0325c19c2255bccaec91b7b6c01d60d602bb0506.cl-A,0.002615269
03b327c2d613cd448f4f1b8717ae32691d317c11.cl-A,-0.091003108
353a14ae5de149e8e71d86fd75f25caceed3488b.cl-A,-0.089860518
50707a08cf5164e9a564e4e639cd09eae842b70a.cl-A,-0.078046038
1458ad60ffa679bd56ee6a8728867aba4683c19d.cl-A,-0.259796843
6c4da77a26dfc3029eec9302391eab456b0b7747.cl-A,-0.132618683
4934b24fd669400223c4c9045604728ec80d3c34.cl-A,-0.192276946
5102b2cfdadc49b36bb05c2e6f92a9a6c842c897.cl-A,-0.102131283
395e6d92e1a2345b2d3161ff5faebfd3d6fb7e05.cl-A,-0.180640431
45de6ac9cb7159a46f08961fe2c3594ceec46be5.cl-A,-0.085746814
18c09feb4419bb4f596450939a856f7eccaf76d4.cl-A,-0.148908658
686b3cead04d8d06bc15cea21643dd62ac6cb428.cl-A,-0.102220195
5277ac2343c8545351aadcbbd1da3137f2647653.cl-A,-0.119019989
485d413b236873c224ba85f77e119d9bd2370dac.cl-A,-0.161311521
992705c53047bf85316bf74de991bc3d0fdf9d53.cl-A,-0.128131557
106524a8d56499ad3634ef39188fa32f5da48546.cl-A,-0.096262148
6e27c6aac1e7f5fa601845733b23185e0212bd10.cl-A,-0.152947002
1a67476b8ccc0efcc6b6dd2c152ad0b26f189662.cl-A,-0.141784856
8a493afd5eda721d3b7f5cc7f27511c3068e976f.cl-A,-0.115125069
80946703c3a9b86cc25cb279b3bc7d318e426847.cl-A,-0.093010526
70fce7dac9e48352585b0f084a846f1bf01c17c8.cl-A,-0.083646808
310b4add30edd2a56d41701b8969ccc2b4fc6799.cl-A,-0.08371455
53955a5f27f6e72444f275c107a07a9f6af9ed11.cl-A,-0.107037949
5f90d0758f1ff616f500a209bb4618ad2c6211ce.cl-A,-0.098051419
1f0cfcf0e4029a8805f9cc380a1d0bcfc26d56ee.cl-A,-0.131747712
3a1c3afd58ce2d2705a450000226c9d2d32c1913.cl-A,-0.08466294
6a371f4069449af8f6676e723c7e55c5059301cc.cl-A,-0.080006647
63fc67a16657a56cb323c769fd21a1b8d2018c84.cl-A,-0.089809711
49c237c0d56ce45e5f7a6eef90f33e2c6928aba6.cl-A,-0.119333734
994832cc2a4af0499b063b3964b0e3dfb7fa148c.cl-A,0.046156899
0145badf5ab7f25067ff7dfd29a5fe9500e6d084.cl-A,-0.103254014
805862a54fdca8906dbeaa5df864e5ebd544cd83.cl-A,-0.14892136
347c5bfccec5c9f1add7220d777b251a2e34420c.cl-A,-0.137671603
2bb64cf92a2dcbfcdee4f8bc00a30adb2e4034f7.cl-A,-0.123183745
38d16e85aeeb489d60c593e1b9a31e20bf69ef30.cl-A,-0.062644487
7b900f0d12fc67a17237634c33f483f20521c31b.cl-A,-0.085746814
1c6b9cc7462e87eff850e901790a25f1a3cc9caf.cl-A,-0.158498389
a5610e721b23d7f31ea54292475162b67460d8d2.cl-A,-0.141784856
a24969089a2ea4211c579f79c36c9e4fe86dfbb0.cl-A,-0.17389136
0743e00807734bbd32753b27c7f113cdef20f9c9.cl-A,-0.052796002
30286ee9312124ffa95c083c73373aa506b44e0b.cl-A,-0.268244846
8d5f4d8efc7cfeffb1395cc2896885ede6921da3.cl-A,-0.153534421
7d0ab1f81ed48b4dc1a1067a5822ebe56167935c.cl-A,-0.151155221
33f4cd2ee110d915894ee8a24d0773e304e47344.cl-A,-0.107954184
a43b719b2452a8e5c7fa16e8e7c7d2d51a79dec4.cl-A,-0.149076478
574306d425f8008efeb110d159e0982ae2559878.cl-A,-0.102169388
9508610767600a9f1de2a64ec17ea7f91f162f81.cl-A,-0.206170486
8ea60510ec930ad2cfe125f126e386dae3cba56a.cl-A,-0.137625234
142a0164a855f2b29b47eed5537066464e11b466.cl-A,-0.137612329
53889e0e000f2193b2e1117f58e70aa48be617fb.cl-A,-0.137965152
3fe6cefa342e0eb070145cae875c993f7406a764.cl-A,-0.102169388
23a2287ce7c0dd56d14515fa1c85ade033ba089e.cl-A,-0.278739232
68322ea1ce14dd21502135db2b9496c70cd29c3e.cl-A,-0.243882274
6615d7cca0be9fe7b12c47dfdee6df6bfcddb954.cl-A,-0.130420313
1f4b6666917be2dbec9aed6d51703fa435604993.cl-A,-0.113679904
042528ced29fb273e1a7002ca798c81bdebd7ade.cl-A,-0.1374296
4bd5f18271aba0a2b64dedfaacb7b0126dbd250b.cl-A,-0.14503999
9fdcd2a913179454c600471ded5a03ba34e96737.cl-A,-0.116911846
2e0a70ae0213213d9dd0ecc957c9099f4c996c9a.cl-A,-0.137637732
40ace8ffd9afd686c0aa8c2e16d2c1e9441a0f38.cl-A,-0.13680255
a50bb47fa9647879e26891b8e097a3aa062fb88d.cl-A,-0.077439872
4c9166b4923d4b979ed3a0ae50075e9d5c456722.cl-A,-0.141939357
