ue	rb	rxAnt	layer	carrier	Start	FFT	ChanEqlz	IDFT	QamDemod	Decode	ChanEst	ChanInv	est	matrixInv	inv	eqlz	demod
12	75	1	2	1	1	14	12	144	144	12	12	12	1800	0	72	10368	31104
12	75	1	2	2	1	28	12	144	144	12	12	12	3625	0	145	20880	62640
12	75	1	2	3	1	42	12	144	144	12	12	12	5500	0	220	31680	95040
12	75	1	2	4	1	56	12	144	144	12	12	12	7400	0	296	42624	127872
12	75	1	3	1	1	14	12	144	144	12	12	12	1800	0	72	10368	31104
12	75	1	3	2	1	28	12	144	144	12	12	12	3625	0	145	20880	62640
12	75	1	3	3	1	42	12	144	144	12	12	12	5500	0	220	31680	95040
12	75	1	3	4	1	56	12	144	144	12	12	12	7400	0	296	42624	127872
12	75	1	4	1	1	14	12	144	144	12	12	12	1800	0	72	10368	31104
12	75	1	4	2	1	28	12	144	144	12	12	12	3625	0	145	20880	62640
12	75	1	4	3	1	42	12	144	144	12	12	12	5500	0	220	31680	95040
12	75	1	4	4	1	56	12	144	144	12	12	12	7400	0	296	42624	127872
12	75	2	1	1	1	28	12	144	144	12	12	12	3600	0	72	20736	31104
12	75	2	1	2	1	56	12	144	144	12	12	12	7250	0	145	41760	62640
12	75	2	1	3	1	84	12	144	144	12	12	12	11000	0	220	63360	95040
12	75	2	1	4	1	112	12	144	144	12	12	12	14800	0	296	85248	127872
12	75	2	2	1	1	28	12	288	288	12	12	12	7200	288	576	41472	62208
12	75	2	2	2	1	56	12	288	288	12	12	12	14500	580	1160	83520	125280
12	75	2	2	3	1	84	12	288	288	12	12	12	22000	880	1760	126720	190080
