mapping,random_seed,platform.processor_1.type,passed,type,design_centering.perturbation.perturbation_type,threshold,trace,platform,kpn,representation,log_level,platform.name,platform.processor_0.type
"[36, 28, 41, 66, 31, 13, 17, 71, 75, 20]",2,ARM_CORTEX_A15,20.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[31, 24, 84, 0, 21, 0, 83, 63, 21, 67]",2,ARM_CORTEX_A15,10.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[68, 23, 79, 74, 10, 51, 29, 62, 6, 66]",2,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[19, 33, 23, 20, 67, 20, 61, 26, 20, 50]",2,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[49, 6, 10, 48, 39, 40, 42, 36, 50, 70]",2,ARM_CORTEX_A15,50.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[43, 56, 79, 61, 76, 60, 57, 13, 48, 55]",2,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[78, 0, 15, 58, 52, 1, 21, 10, 40, 79]",2,ARM_CORTEX_A15,20.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[10, 58, 80, 8, 1, 69, 34, 22, 68, 80]",2,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[75, 70, 74, 50, 20, 68, 60, 16, 0, 57]",2,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[61, 11, 39, 78, 24, 19, 57, 52, 17, 63]",2,ARM_CORTEX_A15,20.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[61, 60, 74, 52, 63, 13, 19, 54, 3, 56]",9,ARM_CORTEX_A15,100.0,center,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[7, 7, 25, 28, 30, 21, 64, 2, 29, 23]",9,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
