mapping,log_level,passed,threshold,type,kpn,platform.processor_0.type,random_seed,platform,platform.name,representation,trace,design_centering.perturbation.perturbation_type,platform.processor_1.type
"[17, 63, 1, 45, 20, 45, 31, 21, 30, 76, 37, 3]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[53, 58, 22, 66, 24, 51, 60, 39, 32, 1, 58, 59]",ERROR,80.0,60014ms,center,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[61, 53, 47, 74, 0, 71, 84, 75, 13, 16, 25, 23]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[72, 6, 4, 79, 9, 1, 11, 52, 13, 19, 31, 65]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[69, 31, 6, 6, 10, 14, 70, 58, 72, 3, 77, 39]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[64, 8, 52, 27, 65, 19, 5, 12, 32, 42, 75, 54]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[58, 30, 1, 75, 5, 80, 69, 54, 13, 12, 68, 2]",ERROR,60.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[17, 43, 73, 21, 64, 2, 29, 9, 79, 43, 7, 75]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[75, 79, 84, 25, 9, 75, 66, 49, 20, 40, 42, 1]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[6, 31, 50, 70, 43, 40, 15, 10, 20, 14, 49, 41]",ERROR,80.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[27, 11, 31, 29, 84, 59, 21, 2, 83, 21, 51, 4]",ERROR,70.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[7, 45, 10, 2, 30, 74, 0, 73, 34, 4, 16, 10]",ERROR,90.0,60014ms,rand,speaker_recognition,ARM_CORTEX_A7,9,mppa_coolidge,exynos,SimpleVector,slx_default,classic,ARM_CORTEX_A15
"[18, 15, 28, 78, 70, 68, 61, 6, 24, 70, 70, 21]",ERROR,70.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[16, 55, 11, 61, 34, 27, 78, 14, 64, 66, 24, 5]",ERROR,40.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[21, 53, 17, 20, 9, 76, 26, 53, 81, 27, 62, 41]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[82, 57, 48, 42, 15, 13, 33, 50, 13, 42, 71, 31]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[80, 41, 12, 70, 84, 17, 46, 58, 48, 51, 41, 21]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[19, 70, 14, 15, 24, 61, 28, 81, 46, 76, 57, 71]",ERROR,40.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[58, 55, 74, 16, 44, 81, 79, 22, 72, 79, 15, 75]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[36, 4, 71, 55, 34, 73, 17, 49, 38, 63, 19, 56]",ERROR,70.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[34, 81, 59, 2, 20, 53, 30, 6, 44, 19, 75, 70]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[83, 45, 75, 24, 9, 35, 27, 70, 53, 79, 25, 43]",ERROR,80.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[6, 83, 38, 72, 9, 47, 25, 72, 7, 10, 20, 60]",ERROR,70.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,representation,ARM_CORTEX_A15
"[51, 69, 29, 23, 61, 7, 42, 33, 79, 49, 40, 21]",ERROR,100.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[68, 55, 67, 6, 54, 30, 27, 82, 16, 77, 65, 34]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[42, 37, 49, 46, 29, 44, 64, 80, 14, 48, 5, 61]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,3,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
