mapper,trace,kpn.name,processes_in_task,platform,mappings_cached,mapper.random_seed,mapper.record_statistics,log_level,tgff.directory,best_mapping_time,representation.canonical_operations,time_simulating,tgff.file,kpn,representation,time_representation,representation_init_time,mappings_evaluated
genetic,tgff_reader,TASK_GRAPH_6,,mppa_coolidge,,2,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_6,2,designer_odroid,0,4,True,ERROR,../../../tgff/e3s-0.9,0.001525734,True,0.14770163599999986,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.026858771001570858,0.006351219490170479,300
tabu_search,tgff_reader,TASK_GRAPH_2,,mppa_coolidge,,4,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_2,,haec,,4,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_1,,mppa_coolidge,,8,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_7,,designer_odroid,,7,True,ERROR,../../../tgff/e3s-0.9,,False,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_4,,multi_cluster,,1,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_7,,designer_odroid,,3,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_5,,multi_cluster,,7,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_3,4,haec,74,10,True,ERROR,../../../tgff/e3s-0.9,0.288099999,True,0.23283623800125497,networking-mocsyn.tgff,tgff_reader,Symmetries,0.20287617399844748,0.18244998343288898,194
random_walk,tgff_reader,TASK_GRAPH_2,,haec,,4,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_6,2,mppa_coolidge,258,8,True,ERROR,../../../tgff/e3s-0.9,3.334383333,False,0.008059929994487902,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.21314579493628116,0.1842385996133089,8
simulated_annealing,tgff_reader,TASK_GRAPH_7,,mppa_coolidge,,5,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_3,3,designer_odroid,0,10,True,ERROR,../../../tgff/e3s-0.9,0.003623468,True,0.2166463010000003,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.035385089002375025,0.0062620677053928375,300
simulated_annealing,tgff_reader,TASK_GRAPH_7,2,mppa_coolidge,1112,2,True,ERROR,../../../tgff/e3s-0.9,3.334333833,True,0.0070312909920176025,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.37961731505129137,0.18217699974775314,8
genetic,tgff_reader,TASK_GRAPH_6,2,haec,197,8,True,ERROR,../../../tgff/e3s-0.9,0.044327783,False,0.049663592984870775,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.07894240201858338,0.18084226734936237,64
random_walk,tgff_reader,TASK_GRAPH_2,4,designer_odroid,0,7,True,ERROR,../../../tgff/e3s-0.9,6.747538034,True,0.3014030109999999,networking-mocsyn.tgff,tgff_reader,Symmetries,0.04061443899990991,0.005873631685972214,300
genetic,tgff_reader,TASK_GRAPH_3,5,mppa_coolidge,207,6,True,ERROR,../../../tgff/e3s-0.9,410.004570499,False,0.08844153299969548,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.3694143060042734,0.18520810268819332,56
simulated_annealing,tgff_reader,TASK_GRAPH_1,4,designer_odroid,12,8,True,ERROR,../../../tgff/e3s-0.9,0.033857142,False,0.012714200998743763,networking-mocsyn.tgff,tgff_reader,Symmetries,0.005182548004086129,0.005005441606044769,17
simulated_annealing,tgff_reader,TASK_GRAPH_7,,mppa_coolidge,,4,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_4,,multi_cluster,,3,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_2,6,mppa_coolidge,286,9,True,ERROR,../../../tgff/e3s-0.9,1400.00155,False,0.06848730600540875,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.5051802629968734,0.18428698927164078,36
genetic,tgff_reader,TASK_GRAPH_5,,multi_cluster,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_3,,designer_odroid,,7,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
