platform.processor_1.type,log_level,trace,kpn,mapper,platform.name,representation,platform,estimated_total_time,best_mapping_time,platform.processor_0.type,mapper.random_seed
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,SimpleVector,mppa_coolidge,8.671931266784668,13238.987149164,ARM_CORTEX_A7,3
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SimpleVector,mppa_coolidge,861.2692966461182,22816.985252615,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,MetricSpaceEmbedding,exynos,6.831948518753052,38.582137355,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SimpleVector,exynos,72.99933195114136,19.185515872,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,SimpleVector,exynos,8.079938888549805,682.250505022,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,gradient_descent,exynos,SimpleVector,mppa_coolidge,24.163851737976074,148.033448488,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,hog,genetic,exynos,MetricSpaceEmbedding,mppa_coolidge,86.36336946487427,7971.335503325,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,MetricSpaceEmbedding,mppa_coolidge,990.9688301086426,1988.011599592,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SymmetryEmbedding,mppa_coolidge,4444.682803869247,27125.618794332,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SimpleVector,mppa_coolidge,1094.8976781368256,37892.617781618,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,SimpleVector,exynos,20.331852674484253,23.25217675,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,genetic,exynos,SimpleVector,exynos,3.643972873687744,18.799154429,ARM_CORTEX_A7,8
ARM_CORTEX_A15,ERROR,slx_default,hog,tabu_search,exynos,MetricSpaceEmbedding,exynos,16.47183656692505,708.418477142,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,simulated_annealing,exynos,MetricSpaceEmbedding,exynos,59.287527084350586,36.866004928,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,genetic,exynos,SymmetryEmbedding,mppa_coolidge,700.1609919071198,35216.2743773,ARM_CORTEX_A7,7
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,SymmetryEmbedding,exynos,8.627942085266113,22.291387885,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,Symmetries,exynos,4.095968723297119,541.690415728,ARM_CORTEX_A7,4
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,genetic,exynos,MetricSpaceEmbedding,mppa_coolidge,54.331581592559814,4236.458680663,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,simulated_annealing,exynos,SymmetryEmbedding,mppa_coolidge,3333.357545852661,27307.875167666,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,hog,random_walk,exynos,SymmetryEmbedding,exynos,4.399966478347778,607.736691163,ARM_CORTEX_A7,9
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,gradient_descent,exynos,Symmetries,exynos,29.107744455337524,33.366791545,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,MetricSpaceEmbedding,exynos,8.5199453830719,21.399392329,ARM_CORTEX_A7,1
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,simulated_annealing,exynos,SymmetryEmbedding,mppa_coolidge,1396.6015212535858,3733.778252163,ARM_CORTEX_A7,6
ARM_CORTEX_A15,ERROR,slx_default,hog,gradient_descent,exynos,SimpleVector,mppa_coolidge,34.263728618621826,3997.520037466,ARM_CORTEX_A7,2
ARM_CORTEX_A15,ERROR,slx_default,speaker_recognition,random_walk,exynos,SimpleVector,exynos,8.36794662475586,21.700249263,ARM_CORTEX_A7,10
ARM_CORTEX_A15,ERROR,slx_default,audio_filter,tabu_search,exynos,MetricSpaceEmbedding,mppa_coolidge,11.6159086227417,5210.657489999,ARM_CORTEX_A7,8
