trace,mappings_cached,estimated_total_time,representation_init_time,time_simulating,time_representation,mapper,processes_in_task,tgff,kpn,mappings_evaluated,platform,mapper.random_seed,representation,log_level,best_mapping_time
tgff_reader,18039,16.299869298934937,0.010033629834651947,2.0784055330005122,35.90191365499959,gradient_descent,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,2001,exynos,8,MetricSpaceEmbedding,ERROR,0.008176
tgff_reader,4,50.763598680496216,0.356456508859992,0.551416851580143,1.545741125708446,simulated_annealing,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",tgff_reader,673,mppa_coolidge,9,MetricSpaceEmbedding,ERROR,3.334383333
tgff_reader,0,0.9119932651519775,0.010285155847668648,0.1229309280000001,0.6522660669979814,random_walk,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",tgff_reader,300,exynos,4,SymmetryEmbedding,ERROR,0.0017505
tgff_reader,0,692.8818457126617,0.361652759835124,4.242214422440156,11.915678785473574,simulated_annealing,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,2058,mppa_coolidge,2,MetricSpaceEmbedding,ERROR,819.274461665
tgff_reader,0,4.239966869354248,0.12449791841208935,0.4516906180000002,0.1988476500264369,random_walk,5,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,300,mppa_coolidge,3,Symmetries,ERROR,1103.480383833
tgff_reader,101,0.6079919338226318,6.89774751663208e-05,0.12282035498719779,0.03374386199902801,gradient_descent,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,181,exynos,4,SimpleVector,ERROR,0.01417
tgff_reader,45,1.0599920749664307,6.778724491596222e-05,0.3815738870007408,0.04208440599950336,tabu_search,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,308,exynos,7,SimpleVector,ERROR,0.002571429
tgff_reader,1698,1.2799904346466064,0.01076819933950901,0.04560577999914879,3.9859847819971037,gradient_descent,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",tgff_reader,117,exynos,10,SymmetryEmbedding,ERROR,0.002768377
tgff_reader,236,0.595996618270874,0.0014119744300842285,0.10765105199516256,0.06732130599539232,tabu_search,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,123,exynos,2,Symmetries,ERROR,0.003417377
tgff_reader,55,637.8881821632385,600.6269141789526,0.3306915648281574,1.680537922307849,genetic,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,208,mppa_coolidge,10,SymmetryEmbedding,ERROR,410.873088332
tgff_reader,2,0.39999818801879883,6.935931742191315e-05,0.04464394599563093,0.009022440994158387,simulated_annealing,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,41,exynos,6,SimpleVector,ERROR,0.004614287
tgff_reader,0,0.7719941139221191,8.646957576274872e-05,0.25446920699999986,0.032629621000069164,random_walk,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,300,exynos,8,SimpleVector,ERROR,0.0027745
tgff_reader,38,7.291964054107666,0.008845243602991104,0.2382760429973132,0.48886275600125373,genetic,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,229,exynos,1,MetricSpaceEmbedding,ERROR,0.003281143
tgff_reader,4500,12.339895009994507,0.12369400821626186,0.10411952948197722,2.867973545449786,simulated_annealing,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,100,mppa_coolidge,7,Symmetries,ERROR,10.002119999
tgff_reader,404,0.5719947814941406,0.12173972278833389,0.008188683539628983,0.09975285921245813,tabu_search,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",tgff_reader,12,mppa_coolidge,8,Symmetries,ERROR,3.334333833
tgff_reader,0,1.0639891624450684,0.010580375790596008,0.35592332000000004,0.8196853339995869,random_walk,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,300,exynos,10,SymmetryEmbedding,ERROR,0.004635475
tgff_reader,0,4.843966007232666,0.36871382407844067,0.4089916360000003,1.0468661619815975,random_walk,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,300,mppa_coolidge,6,MetricSpaceEmbedding,ERROR,3910.276233834
