x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-7.861478121098185,10.355938645268033,38.469146213,MetricSpaceEmbedding,1.3,True
-6.935826914326635,12.193555968325114,71.485028853,MetricSpaceEmbedding,1.3,True
-4.741124766067762,8.687790930823484,37.006637713,MetricSpaceEmbedding,1.3,True
-6.574651451735413,10.467974946431873,72.061295068,MetricSpaceEmbedding,1.3,True
-7.041834450912641,10.074395016181683,39.588221222,MetricSpaceEmbedding,1.3,True
-7.466879857900661,11.961247516162901,44.148274283,MetricSpaceEmbedding,1.3,True
-9.096071860948568,10.7151182313496,49.544322852,MetricSpaceEmbedding,1.3,True
-5.834771709792411,11.117882757466269,72.998619703,MetricSpaceEmbedding,1.3,True
-6.9342792740670784,9.939165369488846,72.079193497,MetricSpaceEmbedding,1.3,True
-6.067082383457367,9.136739205887102,46.759239072,MetricSpaceEmbedding,1.3,True
-8.848525483854013,12.103579295004483,71.426394271,MetricSpaceEmbedding,1.3,True
-5.965052030980027,8.797967280437103,37.000859713,MetricSpaceEmbedding,1.3,True
-8.187003640231058,10.156641152031,70.297205424,MetricSpaceEmbedding,1.3,True
-6.075625961813147,9.685000185376312,38.580671642,MetricSpaceEmbedding,1.3,True
-5.363607111831065,9.046674136640721,37.006751284,MetricSpaceEmbedding,1.3,True
-5.672156203804033,10.28109261280182,45.220371072,MetricSpaceEmbedding,1.3,True
-5.998289336530448,10.718212773666353,70.295019631,MetricSpaceEmbedding,1.3,True
-5.711230899577106,9.272831435999661,50.753949143,MetricSpaceEmbedding,1.3,True
-5.5053410686835536,10.061089600735338,36.894076358,MetricSpaceEmbedding,1.3,True
-7.433259973672524,10.17894013572777,76.414096923,MetricSpaceEmbedding,1.3,True
-6.470859934524824,12.184652573469902,38.138657142,MetricSpaceEmbedding,1.3,True
-8.077490890367304,10.417924602130656,72.119801068,MetricSpaceEmbedding,1.3,True
-5.952064925708024,10.873890948750681,40.752039,MetricSpaceEmbedding,1.3,True
-6.2986890112863705,9.609368787152384,39.356657437,MetricSpaceEmbedding,1.3,True
-8.328432134252893,11.364716734598096,76.151344993,MetricSpaceEmbedding,1.3,True
-7.782650771763935,11.028897016278602,38.409704284,MetricSpaceEmbedding,1.3,True
-7.29487993447241,9.726504900968946,47.205934215,MetricSpaceEmbedding,1.3,True
-8.392363440294512,10.192493079664029,71.481656712,MetricSpaceEmbedding,1.3,True
-8.29626215519739,9.814084204338128,70.295816566,MetricSpaceEmbedding,1.3,True
-7.209631099702948,10.16650550766322,43.883355072,MetricSpaceEmbedding,1.3,True
-5.744525850908515,8.533410896925487,37.360000929,MetricSpaceEmbedding,1.3,True
-5.642211631149976,10.276986998678291,34.329826643,MetricSpaceEmbedding,1.3,True
-4.965768718376732,8.861772537855892,38.516150643,MetricSpaceEmbedding,1.3,True
-6.704010594111563,11.255758026022564,36.882302427,MetricSpaceEmbedding,1.3,True
-7.411321044164836,10.675991020005949,70.35887071,MetricSpaceEmbedding,1.3,True
-8.092565914729459,11.03996060642939,38.518981213,MetricSpaceEmbedding,1.3,True
-7.899547907772424,11.079100224210734,36.955165712,MetricSpaceEmbedding,1.3,True
-5.403482239177887,10.947691750467778,34.327841643,MetricSpaceEmbedding,1.3,True
-8.476399439701536,9.685332125010316,105.540255571,MetricSpaceEmbedding,1.3,True
-7.952556064031519,10.705742407503205,45.283865929,MetricSpaceEmbedding,1.3,True
-7.381622057829603,10.434557933491432,37.224390572,MetricSpaceEmbedding,1.3,True
-5.345084212955427,10.535583177199072,35.508678643,MetricSpaceEmbedding,1.3,True
-6.21647838697522,10.004904833337479,33.854381143,MetricSpaceEmbedding,1.3,True
-6.306829326610113,11.1253269127069,41.147835697,MetricSpaceEmbedding,1.3,True
-7.974330959677159,10.010090750445078,47.715968281,MetricSpaceEmbedding,1.3,True
-5.203091637633632,10.035563995645555,36.885759429,MetricSpaceEmbedding,1.3,True
-7.19495391319974,10.770073372091558,37.201482714,MetricSpaceEmbedding,1.3,True
-4.766848977739767,9.527433242806953,40.769908791,MetricSpaceEmbedding,1.3,True
-9.321323199025215,12.125625242093882,70.355549273,MetricSpaceEmbedding,1.3,True
-7.390127007773382,10.714994511186134,39.362314645,MetricSpaceEmbedding,1.3,True
-8.214030566447585,10.158326585780047,38.667918929,MetricSpaceEmbedding,1.3,True
-8.502995623389364,10.125416554491075,70.300470925,MetricSpaceEmbedding,1.3,True
-6.621526037314686,10.733486087571022,46.754242784,MetricSpaceEmbedding,1.3,True
-5.694810632684306,9.871294886863984,43.465763653,MetricSpaceEmbedding,1.3,True
-8.047890565837893,9.939598630927721,40.063079072,MetricSpaceEmbedding,1.3,True
-9.051381643219718,12.22915633695121,71.549692847,MetricSpaceEmbedding,1.3,True
-6.587543225853889,9.995040315169392,37.056328712,MetricSpaceEmbedding,1.3,True
-8.068080318570104,10.3628264442277,40.827503786,MetricSpaceEmbedding,1.3,True
-6.88583150531677,10.144554028159043,55.671897645,MetricSpaceEmbedding,1.3,True
-7.230635591814332,10.565459875198611,36.81994707,MetricSpaceEmbedding,1.3,True
-7.603610498284898,9.635553553668972,70.299493141,MetricSpaceEmbedding,1.3,True
-5.020665109194709,10.24783745594346,42.334726858,MetricSpaceEmbedding,1.3,True
-5.909791067137057,9.392914927716594,36.931178213,MetricSpaceEmbedding,1.3,True
-7.33233680376406,10.913263228178348,76.941527129,MetricSpaceEmbedding,1.3,True
-5.66745018933443,9.328841289730684,40.8271175,MetricSpaceEmbedding,1.3,True
