name,principal_component_1
https-api-github-com-repos-karrenberg-wfvopencl-git-blobs-e08d70465003ac129ea06067c1a966ed477343af.cl-A,-0.065048018
https-api-github-com-repos-InfiniteSearchSpace-PyCl-Convergence-git-blobs-18b36bc5e56e79bb48d1de2dee912002faaafe76.cl-A,0.044210923
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-5b4be5764372801b5e0fb6b422491b35ac935b82.cl-A,-0.102121404
https-api-github-com-repos-ChiahungTai-OpenCL-playgorund-git-blobs-58fa6f7af33548c10b900db0eb007c6b84b6497d.cl-A,-0.124442872
https-api-github-com-repos-jeapostrophe-opencl-git-blobs-b49ae166016b87bd496c3de3132437e4aee27a2e.cl-A,-0.107100888
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-e9ffc4b04085489cc9c5824d00886f099b6cfff1.cl-C,-0.110789573
https-api-github-com-repos-jamad-adventures_in_opencl-git-blobs-32fd4dd4990879439bbb14c9e27a63b00cc6cdf5.cl-G,-0.414965142
https-api-github-com-repos-dixxi-bachelor_thesis-git-blobs-685dad33570132152cea8b3fadde0fe56a0b7a6a.cl-D,-0.327605997
https-api-github-com-repos-YusukeSuzuki-opencl-d-git-blobs-a8ad835213bc09bb9b7252187d273e909e618a2f.cl-A,-0.102186324
https-api-github-com-repos-pathscale-rodinia-git-blobs-5ca0ddddd1c8d50c157f6c98e16c7b20d5618a38.cl-B,-0.151956461
https-api-github-com-repos-YaccConstructor-Brahma-FSharp-git-blobs-21a17471d2a88bf345d785947d991bb41c3f0ced.cl-A,-0.171486518
https-api-github-com-repos-GabrieleCocco-APUBenchmarks-git-blobs-ee68d6f250126852988d7875cf496772884655fa.cl-A,-0.089765255
https-api-github-com-repos-mc-imperial-gpuverify-git-blobs-5b7a3cf3e1ef5fa350aa69353b8c301e708646e5.cl-A,-0.316632478
https-api-github-com-repos-caoyilun-project-git-blobs-5b4be5764372801b5e0fb6b422491b35ac935b82.cl-A,-0.102841164
https-api-github-com-repos-mc-imperial-gpuverify-git-blobs-32b6322c6092af9fc9cbae773e044d7ee39efb29.cl-A,-0.102135517
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-H,-0.091384715
https-api-github-com-repos-bollig-viennacl-git-blobs-e4b340862a5fd0d1115832d5d8eb525bbaaf5c4b.cl-A,-0.12551616
https-api-github-com-repos-karrenberg-wfvopencl-benchmarks-git-blobs-c749e70d83eb8e341e8726f97d98a70f628f0e45.cl-A,-0.163073327
https-api-github-com-repos-ChiahungTai-OpenCL-playgorund-git-blobs-23f62b5f0821e0f09bf87b029c17a1581df3ce7d.cl-C,-0.077480518
https-api-github-com-repos-caoyilun-project-git-blobs-4d5356cfbd1802463977b822d78a88682fc8b93a.cl-B,0.004783017
https-api-github-com-repos-nimbusrepo-GPGPU-on-Hadoop-git-blobs-a5de65489a2ee48dff8db8b41f6a3436e3c49442.cl-A,-0.08977584
https-api-github-com-repos-Xilinx-SDx-git-blobs-254989bfc97adcd3e6505dae3b8bf02e2e716bdf.cl-A,-0.070341766
https-api-github-com-repos-nchong-clwrapper-git-blobs-f07f65a1c50adf329bc5d1dcf897e9dc308768bd.cl-A,-0.171486518
https-api-github-com-repos-graphistry-cljs-git-blobs-b93c9a79edc9781fa03c91a5a26ad09976eb7253.cl-A,-0.090165357
https-api-github-com-repos-RobbieMcMichael-clauto-git-blobs-50f8d458f26194eecce446342588d0af287d0668.cl-B,-0.102321808
https-api-github-com-repos-YaccConstructor-Brahma-FSharp-git-blobs-892e99ed8e6c617b3434042a5e52f1551c141cd4.cl-A,-0.102135517
https-api-github-com-repos-caoyilun-project-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-E,-0.297862713
https-api-github-com-repos-caoyilun-project-git-blobs-646db7b7d65cd5a23613d64d70b4ad538bbf702f.cl-A,-0.148911198
https-api-github-com-repos-Polytonic-Chlorine-git-blobs-68dc6e442ca9ebe342022f8e1d5f72eeb2a4e28e.cl-B,-0.13680255
https-api-github-com-repos-Gladdy-EasyOpenCL-git-blobs-504310747fde5ffa68d8510be2ee292120fd096b.cl-A,-0.13680255
https-api-github-com-repos-caoyilun-project-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-S,-0.090165357
https-api-github-com-repos-lynnjadecn-tsr-OpenCL-git-blobs-c7fdc9c43a1725ce27946c44a427ae4fbdd48e8e.cl-A,-0.098429896
https-api-github-com-repos-WenhaoZhang-OpenCLInAction-git-blobs-159c197933a5b42c4224ed951994d73c8ddf1e02.cl-B,-0.394662939
https-api-github-com-repos-ChiahungTai-OpenCL-playgorund-git-blobs-1ff739463926f1f05c7327c5c77b5d21e2893392.cl-A,-0.11577188
https-api-github-com-repos-HSAFoundation-CLOC-git-blobs-1dd3b8f858ef5d6901e2dbbe3ba469a3eb05c8fd.cl-A,-0.089767372
https-api-github-com-repos-mc-imperial-gpuverify-git-blobs-48c6050bc35428031491dde3238b5c15aea72345.cl-A,-0.51024785
https-api-github-com-repos-noritsuna-OpenCLCLGenerator_Sample-git-blobs-fab01bd19221d74f36aa567c7cd64b0b3fa9b0b3.cl-A,-0.102299227
https-api-github-com-repos-karlssonper-gpuip-git-blobs-c3ff33730f7213a3b53d5f7179ee8ead9c3e3d3e.cl-A,-0.035668067
https-api-github-com-repos-InfiniteSearchSpace-PyCl-Convergence-git-blobs-5c397625e5ac59da6d3558afa152f33d2a88a361.cl-A,-0.046716809
https-api-github-com-repos-caoyilun-project-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-A,-0.089784308
https-api-github-com-repos-enjalot-EnjaParticles-git-blobs-a6ac2204d87460779da0081d2763e6b829d6393b.cl-A,-0.046527131
https-api-github-com-repos-kumasento-MiniAcc-git-blobs-02ef22cea621fcdcd0abe221944286cf9377eb09.cl-A,-0.089784308
https-api-github-com-repos-mc-imperial-gvki-git-blobs-fd2dbcbf181789243a2a018f58dce7aafe8cc0c6.cl-A,-0.15912684
https-api-github-com-repos-memmaker650-adventures_in_opencl-git-blobs-49171f9287d3990defecc5737a74ba6074a9b9fa.cl-A,-0.089809711
https-api-github-com-repos-michaeljclark-graphstorm-git-blobs-44be8121566211a18b3318a2774b42a456f2e914.cl-A,-0.091384715
https-api-github-com-repos-YaccConstructor-Brahma-FSharp-git-blobs-a89c5d29c6eb62c0212d574edb6f9d360798e835.cl-A,-0.102254066
https-api-github-com-repos-caoyilun-project-git-blobs-fe6de28f9de0e94d9ae617fe119a658c2133b3a1.cl-A,-0.102127049
https-api-github-com-repos-caoyilun-project-git-blobs-7ae8f995f97d8efa00d73f68282ad5842533ceb0.cl-A,-0.097487466
https-api-github-com-repos-kkushagra-rodinia-git-blobs-29c2c831d82ebc2766b18fe250320348c109b2e4.cl-A,-0.110789573
https-api-github-com-repos-dnikulin-clamity-git-blobs-018109862c00261de3144564f5bd4d9ef22b8318.cl-B,-0.228494776
https-api-github-com-repos-Multi2Sim-m2s-bench-amdsdk-2-5-src-git-blobs-96451d027ae882e552f289444198334dc372b261.cl-F,-0.134302439
https-api-github-com-repos-YaccConstructor-Brahma-FSharp-git-blobs-1bb3fe5acc52a071cd65a61b11f7ec908d1ef049.cl-A,-0.203775422
https-api-github-com-repos-marty1885-EasyCL-git-blobs-4595765d77d9e6683e9f1cfae3e30811fec7eaec.cl-A,-0.268560229
https-api-github-com-repos-marwan-abdellah-GPU-Computing-SDK-4-2-9-git-blobs-0ee454ecff6fdb9df1e8d542f06613e631b21dde.cl-G,-0.413068362
https-api-github-com-repos-caoyilun-project-git-blobs-52c078c6a5abdfd0344132763106ebe07c0afa4d.cl-B,-0.338259017
https-api-github-com-repos-ipanousis-Mandelbrot-git-blobs-8b22a0d46dea50c0778d5aafbea9527c84a52bca.cl-A,0.550700207
https-api-github-com-repos-dnikulin-clamity-git-blobs-eebb30e73361fb48c67179b8f71499857e98f305.cl-C,-0.089771606
https-api-github-com-repos-marty1885-EasyCL-git-blobs-41a47c55e194beb980a90859c345f71ab0df666b.cl-A,-0.119460565
https-api-github-com-repos-InfiniteSearchSpace-PyCl-Convergence-git-blobs-4e7ce1fc21c0526bce6301b08e5c43fcd4b636f6.cl-B,-0.039521841
https-api-github-com-repos-Hedlundaren-vattenoverhuvudet-git-blobs-8b3de86d237c903d9015ab0d751f106c95fdcc35.cl-A,-0.217275084
https-api-github-com-repos-clockfort-amd-app-sdk-fixes-git-blobs-3208a814d25043087f16954d2e6eb8335217a0b8.cl-A,-0.102186324
https-api-github-com-repos-fean9r-FeaCL-git-blobs-62a3ceb67fcec35732a4e59f84ca05b961cbd526.cl-A,-0.041897414
https-api-github-com-repos-karrenberg-wfvopencl-git-blobs-942d4855e4959b7e96ccae465a78715f9f903afe.cl-A,-0.086374407
https-api-github-com-repos-erwincoumans-experiments-git-blobs-2ff17826a0c8816800ad49cca71bdd0afcf1927e.cl-A,-0.089792775
https-api-github-com-repos-ayoung200-EnjaParticles-git-blobs-32fd4dd4990879439bbb14c9e27a63b00cc6cdf5.cl-G,-0.414965142
https-api-github-com-repos-caoyilun-project-git-blobs-3e145d8acb3380d148e60d277800ba4d23ba8c0a.cl-O,-0.093010526
https-api-github-com-repos-Multi2Sim-m2s-bench-amdsdk-2-5-src-git-blobs-ca85e69099e4be40f1e1feebff5825cb956c386b.cl-A,-0.329858993
https-api-github-com-repos-lishicao-OpenCL_Sample-git-blobs-f48ea8e4c49f6b066bbd72c111f9ee8f5e0481e2.cl-B,-0.105834721
https-api-github-com-repos-fean9r-adventures_in_opencl-git-blobs-49171f9287d3990defecc5737a74ba6074a9b9fa.cl-A,-0.089765255
https-api-github-com-repos-karrenberg-wfvopencl-benchmarks-git-blobs-3e1859ebc5b67fad9ad6cef39b7e9e766fe3844c.cl-A,0.824854597
